== apple-macos-26.5-2x-dark-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0036 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0738 | +0.0982 +0.1040     -       -   | +0.0427 -0.0028     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0033 | +0.0159 +0.0161     -       -   | +0.0023 -0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0550 | +0.0758 +0.0754     -       -   | +0.0200 -0.0082     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0152 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0070 -0.0000 +0.0070 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0510 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0256 -0.0006 +0.0267 -0.0003 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0396 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0022 -0.0061 +0.0094 +0.0571 |  0.00  0.00  0.00  0.00
photo__rrect-lg__rest                        holdout      0.0455  0.0404 | +0.0392 +0.0567 +0.0529 +0.1656 | -0.0045 -0.0176 +0.0544 +0.0421 |  0.00  0.00  0.00  0.00
mid-dark-solid__capsule-button__rest         holdout      0.0285  0.0308 | +0.0398 +0.0398     -       -   | +0.0158 -0.0001     -       -   |  0.00  0.00   -     -  
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.0331 +0.0001     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4276 | +0.1270 +0.1278     -       -   | +0.0128 -0.0001     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4275 | +0.1268 +0.1267     -       -   | +0.0097 +0.0001     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-2x-dark-standard-css-after.json
